Strain ID	ORF	Gene name	Label
YAL025C_damp1	YAL025C	MAK16	mak16_damp
YBL026W_damp2	YBL026W	LSM2	lsm2_damp
YBL097W_damp3	YBL097W	BRN1	brn1_damp
YBR002C_damp4	YBR002C	RER2	rer2_damp
YBR049C_damp5	YBR049C	REB1	reb1_damp
YBR136W_damp6	YBR136W	MEC1	mec1_damp
YBR198C_damp7	YBR198C	TAF5	taf5_damp
YBR253W_damp8	YBR253W	SRB6	srb6_damp
YCL004W_damp9	YCL004W	PGS1	pgs1_damp
YDL058W_damp10	YDL058W	USO1	uso1_damp
YDL084W_damp11	YDL084W	SUB2	sub2_damp
YDL132W_damp12	YDL132W	CDC53	cdc53_damp
YDL140C_damp13	YDL140C	RPO21	rpo21_damp
YDR016C_damp14	YDR016C	DAD1	dad1_damp
YDR050C_damp15	YDR050C	TPI1	tpi1_damp
YDR088C_damp16	YDR088C	SLU7	slu7_damp
YDR145W_damp17	YDR145W	TAF12	taf12_damp
YDR303C_damp18	YDR303C	RSC3	rsc3_damp
YDR325W_damp19	YDR325W	YCG1	ycg1_damp
YDR328C_damp20	YDR328C	SKP1	skp1_damp
YDR394W_damp21	YDR394W	RPT3	rpt3_damp
YEL019C_damp22	YEL019C	MMS21	mms21_damp
YEL034W_damp23	YEL034W	HYP2	hyp2_damp
YEL055C_damp24	YEL055C	POL5	pol5_damp
YER006W_damp25	YER006W	NUG1	nug1_damp
YER018C_damp26	YER018C	SPC25	spc25_damp
YER021W_damp27	YER021W	RPN3	rpn3_damp
YER022W_damp28	YER022W	SRB4	srb4_damp
YER093C_damp29	YER093C	TSC11	tsc11_damp
YER146W_damp30	YER146W	LSM5	lsm5_damp
YER148W_damp31	YER148W	SPT15	spt15_damp
YER168C_damp32	YER168C	CCA1	cca1_damp
YER171W_damp33	YER171W	RAD3	rad3_damp
YER172C_damp34	YER172C	BRR2	brr2_damp
YFL029C_damp35	YFL029C	CAK1	cak1_damp
YFL034C-B_damp36	YFL034C-B	MOB2	mob2_damp
YFL038C_damp37	YFL038C	YPT1	ypt1_damp
YFR002W_damp38	YFR002W	NIC96	nic96_damp
YFR004W_damp39	YFR004W	RPN11	rpn11_damp
YFR031C_damp40	YFR031C	SMC2	smc2_damp
YFR051C_damp41	YFR051C	RET2	ret2_damp
YGL044C_damp42	YGL044C	RNA15	rna15_damp
YGL055W_damp43	YGL055W	OLE1	ole1_damp
YGL065C_damp44	YGL065C	ALG2	alg2_damp
YGL073W_damp45	YGL073W	HSF1	hsf1_damp
YGL075C_damp46	YGL075C	MPS2	mps2_damp
YGL093W_damp47	YGL093W	SPC105	spc105_damp
YGL098W_damp48	YGL098W	USE1	use1_damp
YGL099W_damp49	YGL099W	LSG1	lsg1_damp
YGL112C_damp50	YGL112C	TAF6	taf6_damp
YGL120C_damp51	YGL120C	PRP43	prp43_damp
YGL247W_damp52	YGL247W	BRR6	brr6_damp
YGR029W_damp53	YGR029W	ERV1	erv1_damp
YGR075C_damp54	YGR075C	PRP38	prp38_damp
YGR098C_damp55	YGR098C	ESP1	esp1_damp
YGR103W_damp56	YGR103W	NOP7	nop7_damp
YGR116W_damp57	YGR116W	SPT6	spt6_damp
YGR147C_damp58	YGR147C	NAT2	nat2_damp
YGR156W_damp59	YGR156W	PTI1	pti1_damp
YGR158C_damp60	YGR158C	MTR3	mtr3_damp
YGR172C_damp61	YGR172C	YIP1	yip1_damp
YGR195W_damp62	YGR195W	SKI6	ski6_damp
YGR218W_damp63	YGR218W	CRM1	crm1_damp
YGR245C_damp64	YGR245C	SDA1	sda1_damp
YGR246C_damp65	YGR246C	BRF1	brf1_damp
YGR274C_damp66	YGR274C	TAF1	taf1_damp
YHR024C_damp67	YHR024C	MAS2	mas2_damp
YHR083W_damp68	YHR083W	SAM35	sam35_damp
YHR170W_damp69	YHR170W	NMD3	nmd3_damp
YHR190W_damp70	YHR190W	ERG9	erg9_damp
YIL004C_damp71	YIL004C	BET1	bet1_damp
YIL021W_damp72	YIL021W	RPB3	rpb3_damp
YIL046W_damp73	YIL046W	MET30	met30_damp
YIL078W_damp74	YIL078W	THS1	ths1_damp
YIL106W_damp75	YIL106W	MOB1	mob1_damp
YIL126W_damp76	YIL126W	STH1	sth1_damp
YIL142W_damp77	YIL142W	CCT2	cct2_damp
YIL143C_damp78	YIL143C	SSL2	ssl2_damp
YIR010W_damp79	YIR010W	DSN1	dsn1_damp
YIR012W_damp80	YIR012W	SQT1	sqt1_damp
YJL014W_damp81	YJL014W	CCT3	cct3_damp
YJL019W_damp82	YJL019W	MPS3	mps3_damp
YJL039C_damp83	YJL039C	NUP192	nup192_damp
YJL041W_damp84	YJL041W	NSP1	nsp1_damp
YJL050W_damp85	YJL050W	MTR4	mtr4_damp
YJL076W_damp86	YJL076W	NET1	net1_damp
YJL104W_damp87	YJL104W	PAM16	pam16_damp
YJR112W_damp88	YJR112W	NNF1	nnf1_damp
YKL042W_damp89	YKL042W	SPC42	spc42_damp
YKL058W_damp90	YKL058W	TOA2	toa2_damp
YKL059C_damp91	YKL059C	MPE1	mpe1_damp
YKL125W_damp92	YKL125W	RRN3	rrn3_damp
YKL165C_damp93	YKL165C	MCD4	mcd4_damp
YKL172W_damp94	YKL172W	EBP2	ebp2_damp
YKL173W_damp95	YKL173W	SNU114	snu114_damp
YKL196C_damp96	YKL196C	YKT6	ykt6_damp
YKR008W_damp97	YKR008W	RSC4	rsc4_damp
YKR037C_damp98	YKR037C	SPC34	spc34_damp
YKR083C_damp99	YKR083C	DAD2	dad2_damp
YKR086W_damp100	YKR086W	PRP16	prp16_damp
YLL003W_damp101	YLL003W	SFI1	sfi1_damp
YLL008W_damp102	YLL008W	DRS1	drs1_damp
YLL034C_damp103	YLL034C	RIX7	rix7_damp
YLR008C_damp104	YLR008C	PAM18	pam18_damp
YLR075W_damp105	YLR075W	RPL10	rpl10_damp
YLR116W_damp106	YLR116W	MSL5	msl5_damp
YLR163C_damp107	YLR163C	MAS1	mas1_damp
YLR175W_damp108	YLR175W	CBF5	cbf5_damp
YLR215C_damp109	YLR215C	CDC123	cdc123_damp
YLR272C_damp110	YLR272C	YCS4	ycs4_damp
YLR277C_damp111	YLR277C	YSH1	ysh1_damp
YLR298C_damp112	YLR298C	YHC1	yhc1_damp
YML015C_damp113	YML015C	TAF11	taf11_damp
YML046W_damp114	YML046W	PRP39	prp39_damp
YML049C_damp115	YML049C	RSE1	rse1_damp
YML085C_damp116	YML085C	TUB1	tub1_damp
YML092C_damp117	YML092C	PRE8	pre8_damp
YML098W_damp118	YML098W	TAF13	taf13_damp
YML114C_damp119	YML114C	TAF8	taf8_damp
YMR005W_damp120	YMR005W	TAF4	taf4_damp
YMR033W_damp121	YMR033W	ARP9	arp9_damp
YMR043W_damp122	YMR043W	MCM1	mcm1_damp
YMR061W_damp123	YMR061W	RNA14	rna14_damp
YMR146C_damp124	YMR146C	TIF34	tif34_damp
YMR197C_damp125	YMR197C	VTI1	vti1_damp
YMR203W_damp126	YMR203W	TOM40	tom40_damp
YMR227C_damp127	YMR227C	TAF7	taf7_damp
YMR239C_damp128	YMR239C	RNT1	rnt1_damp
YMR270C_damp129	YMR270C	RRN9	rrn9_damp
YMR277W_damp130	YMR277W	FCP1	fcp1_damp
YNL007C_damp131	YNL007C	SIS1	sis1_damp
YNL026W_damp132	YNL026W	SAM50	sam50_damp
YNL062C_damp133	YNL062C	GCD10	gcd10_damp
YNL188W_damp134	YNL188W	KAR1	kar1_damp
YNL189W_damp135	YNL189W	SRP1	srp1_damp
YNL221C_damp136	YNL221C	POP1	pop1_damp
YNL251C_damp137	YNL251C	NRD1	nrd1_damp
YNL261W_damp138	YNL261W	ORC5	orc5_damp
YNR016C_damp139	YNR016C	ACC1	acc1_damp
YNR035C_damp140	YNR035C	ARC35	arc35_damp
YNR043W_damp141	YNR043W	MVD1	mvd1_damp
YNR053C_damp142	YNR053C	NOG2	nog2_damp
YOL123W_damp143	YOL123W	HRP1	hrp1_damp
YOL149W_damp144	YOL149W	DCP1	dcp1_damp
YOR046C_damp145	YOR046C	DBP5	dbp5_damp
YOR056C_damp146	YOR056C	NOB1	nob1_damp
YOR057W_damp147	YOR057W	SGT1	sgt1_damp
YOR145C_damp148	YOR145C	PNO1	pno1_damp
YOR151C_damp149	YOR151C	RPB2	rpb2_damp
YOR194C_damp150	YOR194C	TOA1	toa1_damp
YOR232W_damp151	YOR232W	MGE1	mge1_damp
YOR260W_damp152	YOR260W	GCD1	gcd1_damp
YOR281C_damp153	YOR281C	PLP2	plp2_damp
YOR341W_damp154	YOR341W	RPA190	rpa190_damp
YOR373W_damp155	YOR373W	NUD1	nud1_damp
YPL011C_damp156	YPL011C	TAF3	taf3_damp
YPL016W_damp157	YPL016W	SWI1	swi1_damp
YPL028W_damp158	YPL028W	ERG10	erg10_damp
YPL043W_damp159	YPL043W	NOP4	nop4_damp
YPL076W_damp160	YPL076W	GPI2	gpi2_damp
YPL124W_damp161	YPL124W	SPC29	spc29_damp
YPL169C_damp162	YPL169C	MEX67	mex67_damp
YPL175W_damp163	YPL175W	SPT14	spt14_damp
YPL233W_damp164	YPL233W	NSL1	nsl1_damp
YPL235W_damp165	YPL235W	RVB2	rvb2_damp
YPL242C_damp166	YPL242C	IQG1	iqg1_damp
YPL252C_damp167	YPL252C	YAH1	yah1_damp
YPR019W_damp168	YPR019W	MCM4	mcm4_damp
YPR034W_damp169	YPR034W	ARP7	arp7_damp
YPR041W_damp170	YPR041W	TIF5	tif5_damp
YPR086W_damp171	YPR086W	SUA7	sua7_damp
YPR161C_damp172	YPR161C	SGV1	sgv1_damp
YPR178W_damp173	YPR178W	PRP4	prp4_damp
YAL001C_damp174	YAL001C	TFC3	tfc3_damp
YAL003W_damp175	YAL003W	EFB1	efb1_damp
YAL032C_damp176	YAL032C	PRP45	prp45_damp
YAL033W_damp177	YAL033W	POP5	pop5_damp
YAL038W_damp178	YAL038W	CDC19	cdc19_damp
YAL041W_damp179	YAL041W	CDC24	cdc24_damp
YAL043C_damp180	YAL043C	PTA1	pta1_damp
YAR007C_damp181	YAR007C	RFA1	rfa1_damp
YAR008W_damp182	YAR008W	SEN34	sen34_damp
YAR019C_damp183	YAR019C	CDC15	cdc15_damp
YBL004W_damp184	YBL004W	UTP20	utp20_damp
YBL014C_damp185	YBL014C	RRN6	rrn6_damp
YBL018C_damp186	YBL018C	POP8	pop8_damp
YBL020W_damp187	YBL020W	RFT1	rft1_damp
YBL023C_damp188	YBL023C	MCM2	mcm2_damp
YBL030C_damp189	YBL030C	PET9	pet9_damp
YBL034C_damp190	YBL034C	STU1	stu1_damp
YBL035C_damp191	YBL035C	POL12	pol12_damp
YBL040C_damp192	YBL040C	ERD2	erd2_damp
YOR175C_sn97	YOR175C	ALE1	ale1
YPL207W_sn98	YPL207W	TYW1	tyw1
YPR003C_sn99	YPR003C	YPR003C	ypr003c
YPR063C_sn100	YPR063C	YPR063C	ypr063c
YPR091C_sn101	YPR091C	NVJ2	nvj2
YPR114W_sn102	YPR114W	YPR114W	ypr114w
YBR287W_sn103	YBR287W	YBR287W	ybr287w
YDR519W_sn104	YDR519W	FPR2	fpr2
YDR056C_sn105	YDR056C	YDR056C	ydr056c
YGL079W_sn106	YGL079W	KXD1	kxd1
YGR206W_sn107	YGR206W	MVB12	mvb12
YKL061W_sn108	YKL061W	BLI1	bli1
YLR073C_sn109	YLR073C	RFU1	rfu1
YLR408C_sn110	YLR408C	BLS1	bls1
YMR171C_sn111	YMR171C	EAR1	ear1
YNL086W_sn112	YNL086W	SNN1	snn1
YHR105W_sn113	YHR105W	YPT35	ypt35
YCR043C_sn114	YCR043C	YCR043C	ycr043c
YKL063C_sn115	YKL063C	YKL063C	ykl063c
YPL246C_sn116	YPL246C	RBD2	rbd2
YJR134C_sn117	YJR134C	SGM1	sgm1
YER113C_sn118	YER113C	TMN3	tmn3
YOL107W_sn119	YOL107W	YOL107W	yol107w
YDR126W_sn120	YDR126W	SWF1	swf1
YOR311C_sn121	YOR311C	DGK1	dgk1
YDR275W_sn122	YDR275W	BSC2	bsc2
YCR069W_sn123	YCR069W	CPR4	cpr4
YDR107C_sn124	YDR107C	TMN2	tmn2
YER170W_sn125	YER170W	ADK2	adk2
YKR027W_sn126	YKR027W	BCH2	bch2
YDR033W_sn127	YDR033W	MRH1	mrh1
YER049W_sn128	YER049W	TPA1	tpa1
YLR151C_sn129	YLR151C	PCD1	pcd1
YMR204C_sn130	YMR204C	INP1	inp1
YOL019W_sn131	YOL019W	YOL019W	yol019w
YKR007W_sn132	YKR007W	MEH1	meh1
YDR119W_sn133	YDR119W	VBA4	vba4
YDR352W_sn134	YDR352W	YPQ2	ypq2
YNR028W_sn135	YNR028W	CPR8	cpr8
YDL046W_sn136	YDL046W	NPC2	npc2
YDL010W_sn137	YDL010W	GRX6	grx6
YHL008C_sn138	YHL008C	YHL008C	yhl008c
YBR014C_sn139	YBR014C	GRX7	grx7
YER014C-A_sn140	YER014C-A	BUD25	bud25
YOR299W_sn141	YOR299W	BUD7	bud7
YOL072W_sn142	YOL072W	THP1	thp1
YDR006C_sn143	YDR006C	SOK1	sok1
YNL323W_sn144	YNL323W	LEM3	lem3
YBR076W_sn145	YBR076W	ECM8	ecm8
YBL101C_sn146	YBL101C	ECM21	ecm21
YOR092W_sn147	YOR092W	ECM3	ecm3
YER083C_sn148	YER083C	GET2	get2
YIL002C_sn149	YIL002C	INP51	inp51
YNL106C_sn150	YNL106C	INP52	inp52
YOR109W_sn151	YOR109W	INP53	inp53
YCR032W_sn152	YCR032W	BPH1	bph1
YMR140W_sn153	YMR140W	SIP5	sip5
YJR060W_sn154	YJR060W	CBF1	cbf1
YER120W_sn155	YER120W	SCS2	scs2
YGL053W_sn156	YGL053W	PRM8	prm8
YBR283C_sn157	YBR283C	SSH1	ssh1
YER019C-A_sn158	YER019C-A	SBH2	sbh2
YBR172C_sn159	YBR172C	SMY2	smy2
YKL212W_sn160	YKL212W	SAC1	sac1
YCR036W_sn161	YCR036W	RBK1	rbk1
YHR161C_sn162	YHR161C	YAP1801	yap1801
YGR241C_sn163	YGR241C	YAP1802	yap1802
YBL047C_sn164	YBL047C	EDE1	ede1
YNR075W_sn165	YNR075W	COS10	cos10
YNL227C_sn166	YNL227C	JJJ1	jjj1
YPL032C_sn167	YPL032C	SVL3	svl3
YDL231C_sn168	YDL231C	BRE4	bre4
YJL204C_sn169	YJL204C	RCY1	rcy1
YGL106W_sn170	YGL106W	MLC1	mlc1
YDR388W_sn171	YDR388W	RVS167	rvs167
YCR009C_sn172	YCR009C	RVS161	rvs161
YCR053W_sn173	YCR053W	THR4	thr4
YDR264C_sn174	YDR264C	AKR1	akr1
YDR036C_sn175	YDR036C	EHD3	ehd3
YDR069C_sn176	YDR069C	DOA4	doa4
YCR028C_sn177	YCR028C	FEN2	fen2
YAL030W_sn178	YAL030W	SNC1	snc1
YOR327C_sn179	YOR327C	SNC2	snc2
YBR207W_sn180	YBR207W	FTH1	fth1
YIL090W_sn181	YIL090W	ICE2	ice2
YDR320C_sn182	YDR320C	SWA2	swa2
YNL049C_sn183	YNL049C	SFB2	sfb2
YAL007C_sn184	YAL007C	ERP2	erp2
YML012W_sn185	YML012W	ERV25	erv25
YGR284C_sn186	YGR284C	ERV29	erv29
YNL044W_sn187	YNL044W	YIP3	yip3
YCR067C_sn188	YCR067C	SED4	sed4
YOR307C_sn189	YOR307C	SLY41	sly41
YDR057W_sn190	YDR057W	YOS9	yos9
YHR098C_sn191	YHR098C	SFB3	sfb3
YJL192C_sn192	YJL192C	SOP4	sop4
YOR216C_sn193	YOR216C	RUD3	rud3
YFL048C_sn194	YFL048C	EMP47	emp47
YLR080W_sn195	YLR080W	EMP46	emp46
YML067C_sn196	YML067C	ERV41	erv41
YAL042W_sn197	YAL042W	ERV46	erv46
YAR002C-A_sn198	YAR002C-A	ERP1	erp1
YGR166W_sn199	YGR166W	TRS65	trs65
YOR115C_sn200	YOR115C	TRS33	trs33
YIL044C_sn201	YIL044C	AGE2	age2
YIL076W_sn202	YIL076W	SEC28	sec28
YCL001W_sn203	YCL001W	RER1	rer1
YDR524C_sn204	YDR524C	AGE1	age1
YDL226C_sn205	YDL226C	GCS1	gcs1
YDL192W_sn206	YDL192W	ARF1	arf1
YDL137W_sn207	YDL137W	ARF2	arf2
YHR142W_sn208	YHR142W	CHS7	chs7
YGL054C_sn209	YGL054C	ERV14	erv14
YGL200C_sn210	YGL200C	EMP24	emp24
YLR268W_sn211	YLR268W	SEC22	sec22
YER122C_sn212	YER122C	GLO3	glo3
YMR292W_sn213	YMR292W	GOT1	got1
YJR031C_sn214	YJR031C	GEA1	gea1
YEL022W_sn215	YEL022W	GEA2	gea2
YDR108W_sn216	YDR108W	TRS85	trs85
YLR207W_sn217	YLR207W	HRD3	hrd3
YHR204W_sn218	YHR204W	MNL1	mnl1
YBR201W_sn219	YBR201W	DER1	der1
YOL013C_sn220	YOL013C	HRD1	hrd1
YBR170C_sn221	YBR170C	NPL4	npl4
YNL064C_sn222	YNL064C	YDJ1	ydj1
YFL025C_sn223	YFL025C	BST1	bst1
YMR264W_sn224	YMR264W	CUE1	cue1
YKL079W_sn225	YKL079W	SMY1	smy1
YOL065C_sn226	YOL065C	INP54	inp54
YDR122W_sn227	YDR122W	KIN1	kin1
YLR096W_sn228	YLR096W	KIN2	kin2
YPR032W_sn229	YPR032W	SRO7	sro7
YBL106C_sn230	YBL106C	SRO77	sro77
YOR049C_sn231	YOR049C	RSB1	rsb1
YPL147W_sn232	YPL147W	PXA1	pxa1
YKL188C_sn233	YKL188C	PXA2	pxa2
YBR264C_sn234	YBR264C	YPT10	ypt10
YDR153C_sn235	YDR153C	ENT5	ent5
YBL102W_sn236	YBL102W	SFT2	sft2
YJL004C_sn237	YJL004C	SYS1	sys1
YJL099W_sn238	YJL099W	CHS6	chs6
YPL195W_sn239	YPL195W	APL5	apl5
YGR261C_sn240	YGR261C	APL6	apl6
YBR288C_sn241	YBR288C	APM3	apm3
YJL024C_sn242	YJL024C	APS3	aps3
YJL222W_sn243	YJL222W	VTH2	vth2
YIL173W_sn244	YIL173W	VTH1	vth1
YOR036W_sn245	YOR036W	PEP12	pep12
YDR358W_sn246	YDR358W	GGA1	gga1
YHR108W_sn247	YHR108W	GGA2	gga2
YJL029C_sn248	YJL029C	VPS53	vps53
YDR484W_sn249	YDR484W	VPS52	vps52
YDR027C_sn250	YDR027C	VPS54	vps54
YKL179C_sn251	YKL179C	COY1	coy1
YOL062C_sn252	YOL062C	APM4	apm4
YJL044C_sn253	YJL044C	GYP6	gyp6
YDR137W_sn254	YDR137W	RGP1	rgp1
YER166W_sn255	YER166W	DNF1	dnf1
YLR039C_sn256	YLR039C	RIC1	ric1
YDR093W_sn257	YDR093W	DNF2	dnf2
YPL051W_sn258	YPL051W	ARL3	arl3
YMR162C_sn259	YMR162C	DNF3	dnf3
YGR142W_sn260	YGR142W	BTN2	btn2
YLR262C_sn261	YLR262C	YPT6	ypt6
YJL059W_sn262	YJL059W	YHC3	yhc3
YNL051W_sn263	YNL051W	COG5	cog5
YNL041C_sn264	YNL041C	COG6	cog6
YML071C_sn265	YML071C	COG8	cog8
YGL005C_sn266	YGL005C	COG7	cog7
YGL223C_sn267	YGL223C	COG1	cog1
YOR275C_sn268	YOR275C	RIM20	rim20
YOL116W_sn269	YOL116W	MSN1	msn1
YLR181C_sn270	YLR181C	VTA1	vta1
YJR044C_sn271	YJR044C	VPS55	vps55
YLR360W_sn272	YLR360W	VPS38	vps38
YAL002W_sn273	YAL002W	VPS8	vps8
YLR025W_sn274	YLR025W	SNF7	snf7
YMR077C_sn275	YMR077C	VPS20	vps20
YKL041W_sn276	YKL041W	VPS24	vps24
YDR486C_sn277	YDR486C	VPS60	vps60
YLR396C_sn278	YLR396C	VPS33	vps33
YLR148W_sn279	YLR148W	PEP3	pep3
YMR231W_sn280	YMR231W	PEP5	pep5
YDR492W_sn281	YDR492W	IZH1	izh1
YLR023C_sn282	YLR023C	IZH3	izh3
YOL002C_sn283	YOL002C	IZH2	izh2
YOL101C_sn284	YOL101C	IZH4	izh4
YMR010W_sn285	YMR010W	YMR010W	ymr010w
YHR195W_sn286	YHR195W	NVJ1	nvj1
YGL014W_sn287	YGL014W	PUF4	puf4
YPL037C_sn288	YPL037C	EGD1	egd1
YOR094W_sn1	YOR094W	ARF3	arf3
YKL051W_sn2	YKL051W	SFK1	sfk1
YDL161W_sn3	YDL161W	ENT1	ent1
YLR206W_sn4	YLR206W	ENT2	ent2
YLL038C_sn5	YLL038C	ENT4	ent4
YHR016C_sn6	YHR016C	YSC84	ysc84
YJR125C_sn7	YJR125C	ENT3	ent3
YNL293W_sn8	YNL293W	MSB3	msb3
YCL034W_sn9	YCL034W	LSB5	lsb5
YBR128C_sn10	YBR128C	ATG14	atg14
YMR159C_sn11	YMR159C	ATG16	atg16
YPL100W_sn12	YPL100W	ATG21	atg21
YCR068W_sn13	YCR068W	ATG15	atg15
YOL007C_sn14	YOL007C	CSI2	csi2
YER150W_sn15	YER150W	SPI1	spi1
YIR039C_sn16	YIR039C	YPS6	yps6
YOR034C_sn17	YOR034C	AKR2	akr2
YHR057C_sn18	YHR057C	CPR2	cpr2
YLR361C_sn19	YLR361C	DCR2	dcr2
YER039C_sn20	YER039C	HVG1	hvg1
YJL223C_sn21	YJL223C	PAU1	pau1
YEL049W_sn22	YEL049W	PAU2	pau2
YCR104W_sn23	YCR104W	PAU3	pau3
YLR461W_sn24	YLR461W	PAU4	pau4
YFL020C_sn25	YFL020C	PAU5	pau5
YNR076W_sn26	YNR076W	PAU6	pau6
YKR098C_sn27	YKR098C	UBP11	ubp11
YDL206W_sn28	YDL206W	YDL206W	ydl206w
YFL040W_sn29	YFL040W	YFL040W	yfl040w
YFR018C_sn30	YFR018C	YFR018C	yfr018c
YGL081W_sn31	YGL081W	YGL081W	ygl081w
YLR057W_sn32	YLR057W	MNL2	mnl2
YNR071C_sn33	YNR071C	YNR071C	ynr071c
YPR084W_sn34	YPR084W	YPR084W	ypr084w
YGL259W_sn35	YGL259W	YPS5	yps5
YMR237W_sn36	YMR237W	BCH1	bch1
YGL083W_sn37	YGL083W	SCY1	scy1
YMR071C_sn38	YMR071C	TVP18	tvp18
YBL010C_sn39	YBL010C	YBL010C	ybl010c
YEL048C_sn40	YEL048C	TCA17	tca17
YHL017W_sn41	YHL017W	YHL017W	yhl017w
YJL207C_sn42	YJL207C	LAA1	laa1
YML037C_sn43	YML037C	YML037C	yml037c
YOL137W_sn44	YOL137W	BSC6	bsc6
YDR100W_sn45	YDR100W	TVP15	tvp15
YER101C_sn46	YER101C	AST2	ast2
YDR371W_sn47	YDR371W	CTS2	cts2
YDR084C_sn48	YDR084C	TVP23	tvp23
YKR088C_sn49	YKR088C	TVP38	tvp38
YEL005C_sn50	YEL005C	VAB2	vab2
YBL104C_sn51	YBL104C	SEA4	sea4
YIR035C_sn52	YIR035C	YIR035C	yir035c
YOR112W_sn53	YOR112W	CEX1	cex1
YCR082W_sn54	YCR082W	AHC2	ahc2
YDR304C_sn55	YDR304C	CPR5	cpr5
YML101C_sn56	YML101C	CUE4	cue4
YGR223C_sn57	YGR223C	HSV2	hsv2
YLR351C_sn58	YLR351C	NIT3	nit3
YJL123C_sn59	YJL123C	MTC1	mtc1
YJR015W_sn60	YJR015W	YJR015W	yjr015w
YPL105C_sn61	YPL105C	SYH1	syh1
YDR349C_sn62	YDR349C	YPS7	yps7
YDR411C_sn63	YDR411C	DFM1	dfm1
YFR041C_sn64	YFR041C	ERJ5	erj5
YJR118C_sn65	YJR118C	ILM1	ilm1
YIL027C_sn66	YIL027C	EMC5	emc5
YNL156C_sn67	YNL156C	NSG2	nsg2
YMR123W_sn68	YMR123W	PKR1	pkr1
YDL204W_sn69	YDL204W	RTN2	rtn2
YHR181W_sn70	YHR181W	SVP26	svp26
YBR273C_sn71	YBR273C	UBX7	ubx7
YBR096W_sn72	YBR096W	YBR096W	ybr096w
YCL045C_sn73	YCL045C	EMC1	emc1
YDL121C_sn74	YDL121C	YDL121C	ydl121c
YDR221W_sn75	YDR221W	GTB1	gtb1
YDR307W_sn76	YDR307W	PMT7	pmt7
YDR476C_sn77	YDR476C	YDR476C	ydr476c
YEL001C_sn78	YEL001C	IRC22	irc22
YEL043W_sn79	YEL043W	YEL043W	yel043w
YER053C-A_sn80	YER053C-A	YER053C-A	yer053c-a
YKL065C_sn81	YKL065C	YET1	yet1
YDL072C_sn82	YDL072C	YET3	yet3
YGL010W_sn83	YGL010W	MPO1	mpo1
YGL231C_sn84	YGL231C	EMC4	emc4
YGR263C_sn85	YGR263C	SAY1	say1
YHR045W_sn86	YHR045W	YHR045W	yhr045w
YIL039W_sn87	YIL039W	TED1	ted1
YJR088C_sn88	YJR088C	EMC2	emc2
YLL014W_sn89	YLL014W	EMC6	emc6
YLL023C_sn90	YLL023C	POM33	pom33
YLR050C_sn91	YLR050C	YLR050C	ylr050c
YLR064W_sn92	YLR064W	PER33	per33
YNL046W_sn93	YNL046W	YNL046W	ynl046w
YNL146W_sn94	YNL146W	YNL146W	ynl146w
YNR021W_sn95	YNR021W	YNR021W	ynr021w
YOR044W_sn96	YOR044W	IRC23	irc23
YHR193C_sn289	YHR193C	EGD2	egd2
YCR020C-A_sn290	YCR020C-A	MAK31	mak31
YEL053C_sn291	YEL053C	MAK10	mak10
YPR051W_sn292	YPR051W	MAK3	mak3
YIL016W_sn293	YIL016W	SNL1	snl1
YML038C_sn294	YML038C	YMD8	ymd8
YKL209C_sn295	YKL209C	STE6	ste6
YDR410C_sn296	YDR410C	STE14	ste14
YIR004W_sn297	YIR004W	DJP1	djp1
YNL329C_sn298	YNL329C	PEX6	pex6
YOR084W_sn299	YOR084W	LPX1	lpx1
YDR265W_sn300	YDR265W	PEX10	pex10
YMR026C_sn301	YMR026C	PEX12	pex12
YNL214W_sn302	YNL214W	PEX17	pex17
YJL210W_sn303	YJL210W	PEX2	pex2
YPL112C_sn304	YPL112C	PEX25	pex25
YOR193W_sn305	YOR193W	PEX27	pex27
YDR479C_sn306	YDR479C	PEX29	pex29
YKL197C_sn307	YKL197C	PEX1	pex1
YLR324W_sn308	YLR324W	PEX30	pex30
YPR128C_sn309	YPR128C	ANT1	ant1
YDL065C_sn310	YDL065C	PEX19	pex19
YDR244W_sn311	YDR244W	PEX5	pex5
YDR142C_sn312	YDR142C	PEX7	pex7
YOL147C_sn313	YOL147C	PEX11	pex11
YLR191W_sn314	YLR191W	PEX13	pex13
YOL044W_sn315	YOL044W	PEX15	pex15
YDR329C_sn316	YDR329C	PEX3	pex3
YGR077C_sn317	YGR077C	PEX8	pex8
YGR133W_sn318	YGR133W	PEX4	pex4
YML121W_sn319	YML121W	GTR1	gtr1
YBR171W_sn320	YBR171W	SEC66	sec66
YLR292C_sn321	YLR292C	SEC72	sec72
YHR013C_sn322	YHR013C	ARD1	ard1
YDL040C_sn323	YDL040C	NAT1	nat1
YDL230W_sn324	YDL230W	PTP1	ptp1
YNR032W_sn325	YNR032W	PPG1	ppg1
YGR123C_sn326	YGR123C	PPT1	ppt1
YDR477W_sn327	YDR477W	SNF1	snf1
YDR490C_sn328	YDR490C	PKH1	pkh1
YKL126W_sn329	YKL126W	YPK1	ypk1
YHR079C_sn330	YHR079C	IRE1	ire1
YLR240W_sn331	YLR240W	VPS34	vps34
YBR097W_sn332	YBR097W	VPS15	vps15
YOL100W_sn333	YOL100W	PKH2	pkh2
YNL265C_sn334	YNL265C	IST1	ist1
YGR105W_sn335	YGR105W	VMA21	vma21
YGL095C_sn336	YGL095C	VPS45	vps45
YHR060W_sn337	YHR060W	VMA22	vma22
YKL119C_sn338	YKL119C	VPH2	vph2
