1	1	1	YMR271C	DMA3865
1	1	2	YMR271C	DMA3865
1	1	3	YMR271C	DMA3865
1	1	4	YMR271C	DMA3865
1	1	5	YMR271C	DMA3865
1	1	6	YMR271C	DMA3865
1	1	7	YMR271C	DMA3865
1	1	8	YMR271C	DMA3865
1	1	9	YMR271C	DMA3865
1	1	10	YMR271C	DMA3865
1	1	11	YMR271C	DMA3865
1	1	12	YMR271C	DMA3865
1	1	13	YMR271C	DMA3865
1	1	14	YMR271C	DMA3865
1	1	15	YMR271C	DMA3865
1	1	16	YMR271C	DMA3865
1	1	17	YMR271C	DMA3865
1	1	18	YMR271C	DMA3865
1	1	19	YMR271C	DMA3865
1	1	20	YMR271C	DMA3865
1	1	21	YMR271C	DMA3865
1	1	22	YMR271C	DMA3865
1	1	23	YMR271C	DMA3865
1	1	24	YMR271C	DMA3865
1	2	1	YMR271C	DMA3865
1	2	2	YML105C	TSA710
1	2	3	YOR329C	TSA570
1	2	4	YJR076C	TSA82
1	2	5	YGR119C	TSA954
1	2	6	YPR055W	TSA122
1	2	7	YGR140W	TSA133
1	2	8	YLR452C	DMA3495
1	2	9	YDL029W	TSA886
1	2	10	YDR150W	DMA946
1	2	11	YMR296C	TSA602
1	2	12	YIR011C	TSA1105
1	2	13	YOR361C	TSA27
1	2	14	YFL009W	TSA415
1	2	15	YGL247W	TSA1123
1	2	16	BLANK	
1	2	17	YLR117C	TSA1047
1	2	18	YJL034W	TSA210
1	2	19	YJL125C	TSA620
1	2	20	YER038C	TSA996
1	2	21	YPL010W	TSA689
1	2	22	YHR069C	TSA724
1	2	23	YBR202W	TSA125
1	2	24	YMR271C	DMA3865
1	3	1	YMR271C	DMA3865
1	3	2	YNL041C	DMA3970
1	3	3	YDR044W	TSA1076
1	3	4	YBR160W	TSA175
1	3	5	YMR079W	TSA53
1	3	6	YBL097W	TSA510
1	3	7	YMR307W	DMA3905
1	3	8	YGL207W	TSA339
1	3	9	YML046W	TSA494
1	3	10	YDR364C	TSA18
1	3	11	YNL232W	TSA1156
1	3	12	YDL126C	TSA179
1	3	13	YLR022C	TSA1026
1	3	14	YNR026C	TSA60
1	3	15	YLL002W	DMA3033
1	3	16	YNL061W	TSA628
1	3	17	YER157W	TSA41
1	3	18	YPL047W	DMA4811
1	3	19	YLR071C	TSA908
1	3	20	YOL018C	DMA4304
1	3	21	YOR224C	TSA1195
1	3	22	YKL035W	TSA1155
1	3	23	YBR060C	TSA309
1	3	24	YMR271C	DMA3865
1	4	1	YMR271C	DMA3865
1	4	2	YEL026W	TSA810
1	4	3	YNL132W	TSA1262
1	4	4	YOR020C	TSA681
1	4	5	YOR103C	TSA1158
1	4	6	YML102W	DMA3590
1	4	7	YHR007C	TSA14
1	4	8	YBR049C	TSA1107
1	4	9	YML028W	DMA3534
1	4	10	YGL219C	DMA1748
1	4	11	YOR294W	TSA687
1	4	12	YNL118C	TSA743
1	4	13	YJL081C	TSA618
1	4	14	YBR193C	TSA751
1	4	15	YDR172W	TSA28
1	4	16	YGR270W	DMA2009
1	4	17	YKL193C	TSA573
1	4	18	YDR394W	TSA785
1	4	19	YJL097W	TSA896
1	4	20	YOL066C	TSA1181
1	4	21	YLR088W	TSA207
1	4	22	YER148W	TSA812
1	4	23	YAL034W-A	TSA235
1	4	24	YMR271C	DMA3865
1	5	1	YMR271C	DMA3865
1	5	2	YPR176C	TSA143
1	5	3	YDR021W	TSA728
1	5	4	YIL048W	TSA188
1	5	5	YMR190C	DMA3784
1	5	6	YHR036W	TSA1042
1	5	7	YDL043C	TSA369
1	5	8	YFL039C	TSA216
1	5	9	YJL046W	DMA2464
1	5	10	YER125W	TSA464
1	5	11	YEL019C	TSA533
1	5	12	YDR293C	DMA1035
1	5	13	YGR081C	DMA1857
1	5	14	YDR434W	TSA1178
1	5	15	YPL169C	TSA816
1	5	16	YHR191C	DMA2228
1	5	17	YDR050C	TSA988
1	5	18	YDL126C	TSA209
1	5	19	YGL151W	DMA1703
1	5	20	YBR026C	DMA196
1	5	21	YBR102C	TSA24
1	5	22	YNL189W	TSA1182
1	5	23	YLR045C	TSA555
1	5	24	YMR271C	DMA3865
1	6	1	YMR271C	DMA3865
1	6	2	YOR336W	TSA139
1	6	3	YLR347C	TSA228
1	6	4	YFL039C	TSA219
1	6	5	YOR057W	TSA830
1	6	6	YNR043W	TSA828
1	6	7	YFR052W	TSA405
1	6	8	YFR050C	TSA1139
1	6	9	YDR356W	TSA301
1	6	10	YFL005W	TSA307
1	6	11	YGL113W	TSA1119
1	6	12	YGL233W	TSA40
1	6	13	YMR304W	DMA3909
1	6	14	YDR498C	TSA55
1	6	15	YGL245W	TSA1194
1	6	16	YKR086W	TSA598
1	6	17	YGL130W	TSA124
1	6	18	YLR056W	DMA3153
1	6	19	YDL028C	TSA169
1	6	20	YHR040W	TSA1067
1	6	21	YDR341C	TSA1118
1	6	22	YNL163C	TSA1019
1	6	23	YPR085C	TSA1232
1	6	24	YMR271C	DMA3865
1	7	1	YMR271C	DMA3865
1	7	2	YPR016C	TSA1010
1	7	3	YOR116C	TSA831
1	7	4	YCR052W	TSA1191
1	7	5	YOR257W	TSA152
1	7	6	YKL213C	DMA2910
1	7	7	YLR293C	TSA256
1	7	8	YDR356W	TSA276
1	7	9	YOR122C	TSA233
1	7	10	YGR172C	TSA981
1	7	11	YDR302W	TSA1177
1	7	12	YIL104C	TSA1100
1	7	13	YJR046W	TSA705
1	7	14	YHR058C	TSA1094
1	7	15	YCR002C	TSA81
1	7	16	YBL105C	TSA541
1	7	17	YDR236C	TSA1245
1	7	18	YOR074C	TSA927
1	7	19	YDL087C	TSA711
1	7	20	YCL061C	DMA522
1	7	21	YOR204W	TSA557
1	7	22	YGR172C	TSA980
1	7	23	YDL098C	TSA1079
1	7	24	YMR271C	DMA3865
1	8	1	YMR271C	DMA3865
1	8	2	YDR527W	TSA1216
1	8	3	YBL105C	TSA535
1	8	4	YLR317W	TSA1151
1	8	5	YLL038C	DMA3057
1	8	6	YML031W	TSA176
1	8	7	YIL083C	TSA1212
1	8	8	YPL255W	TSA691
1	8	9	YMR308C	TSA683
1	8	10	YGL047W	TSA1197
1	8	11	YLR033W	TSA1145
1	8	12	YGL048C	TSA907
1	8	13	YDL028C	TSA167
1	8	14	YKL112W	TSA837
1	8	15	YGR156W	TSA477
1	8	16	YPL209C	TSA206
1	8	17	YDR182W	TSA414
1	8	18	YDL103C	TSA860
1	8	19	YFL039C	TSA220
1	8	20	YJL115W	DMA2518
1	8	21	YMR061W	TSA1106
1	8	22	YBR087W	TSA887
1	8	23	YLR110C	DMA3198
1	8	24	YMR271C	DMA3865
1	9	1	YMR271C	DMA3865
1	9	2	YLR163C	TSA497
1	9	3	YAL013W	DMA16
1	9	4	YDL028C	TSA170
1	9	5	YJR093C	TSA1096
1	9	6	YNL258C	TSA418
1	9	7	YMR239C	TSA673
1	9	8	YLR193C	DMA3256
1	9	9	YMR197C	TSA634
1	9	10	YJR057W	TSA22
1	9	11	YBR109C	TSA154
1	9	12	YOR074C	TSA147
1	9	13	YJL168C	DMA2546
1	9	14	YCL010C	DMA478
1	9	15	YDL132W	TSA974
1	9	16	YGR246C	TSA478
1	9	17	YJL203W	TSA401
1	9	18	YIL068C	TSA38
1	9	19	YDR060W	TSA249
1	9	20	YDR145W	TSA514
1	9	21	YOR184W	DMA4596
1	9	22	YBR080C	TSA54
1	9	23	YJR076C	TSA126
1	9	24	YMR271C	DMA3865
1	10	1	YMR271C	DMA3865
1	10	2	YLR026C	TSA198
1	10	3	YAL003W	TSA987
1	10	4	YGL043W	DMA1631
1	10	5	YLR276C	TSA1148
1	10	6	YLR208W	TSA52
1	10	7	YHR065C	TSA1261
1	10	8	YKL173W	TSA622
1	10	9	YGR091W	TSA400
1	10	10	YDL208W	TSA1176
1	10	11	YPL235W	TSA1202
1	10	12	YLR342W	DMA3377
1	10	13	YPR179C	DMA5157
1	10	14	YGR103W	TSA447
1	10	15	YKR022C	TSA1231
1	10	16	YDR512C	DMA1213
1	10	17	YLR340W	TSA1152
1	10	18	YPL228W	TSA270
1	10	19	YPL174C	DMA4918
1	10	20	YHR101C	TSA1129
1	10	21	YJL104W	TSA499
1	10	22	YDR162C	DMA958
1	10	23	YKL019W	TSA1273
1	10	24	YMR271C	DMA3865
1	11	1	YMR271C	DMA3865
1	11	2	YPR086W	TSA1274
1	11	3	YCL052C	TSA1069
1	11	4	YDL028C	TSA166
1	11	5	YOR151C	TSA693
1	11	6	YKL024C	TSA1031
1	11	7	YGR140W	TSA221
1	11	8	YGL075C	TSA444
1	11	9	YFL034C-B	TSA813
1	11	10	YOR085W	DMA4524
1	11	11	YBL026W	TSA1065
1	11	12	YPR070W	DMA5068
1	11	13	YJR006W	TSA794
1	11	14	YOR259C	TSA263
1	11	15	YNL138W	TSA800
1	11	16	YFL039C	TSA215
1	11	17	YLR367W	DMA3402
1	11	18	YFL039C	TSA141
1	11	19	YER083C	DMA1389
1	11	20	YOR181W	TSA912
1	11	21	YLR397C	TSA266
1	11	22	YGL116W	TSA368
1	11	23	YDR235W	TSA1085
1	11	24	YMR271C	DMA3865
1	12	1	YMR271C	DMA3865
1	12	2	YCL061C	DMA522
1	12	3	YGL045W	DMA1630
1	12	4	YBR079C	TSA990
1	12	5	YBR155W	TSA567
1	12	6	YOL038W	TSA1153
1	12	7	YBL034C	TSA822
1	12	8	YDR238C	TSA722
1	12	9	YLR186W	TSA1141
1	12	10	YML041C	DMA3546
1	12	11	YDR002W	TSA582
1	12	12	YDR196C	TSA890
1	12	13	YJL039C	TSA496
1	12	14	YCL059C	TSA326
1	12	15	YLL031C	TSA197
1	12	16	YER018C	TSA473
1	12	17	YIL118W	TSA654
1	12	18	YGR009C	TSA57
1	12	19	YKL021C	TSA1097
1	12	20	YDR361C	TSA580
1	12	21	YKL203C	TSA398
1	12	22	YFL039C	TSA214
1	12	23	YKL112W	TSA335
1	12	24	YMR271C	DMA3865
1	13	1	YMR271C	DMA3865
1	13	2	YBL093C	TSA1015
1	13	3	YOR174W	TSA738
1	13	4	YLR378C	TSA213
1	13	5	YPL209C	TSA165
1	13	6	YKL144C	TSA1124
1	13	7	YBR079C	TSA1060
1	13	8	YKL032C	DMA2770
1	13	9	YDL090C	TSA327
1	13	10	YDL102W	TSA17
1	13	11	YGR135W	DMA1892
1	13	12	YOL001W	DMA4274
1	13	13	YLR298C	TSA844
1	13	14	YDL102W	TSA406
1	13	15	YLR321C	TSA952
1	13	16	YNL061W	TSA630
1	13	17	YGR005C	TSA1137
1	13	18	YDR141C	TSA854
1	13	19	YLR440C	TSA726
1	13	20	YGR113W	TSA245
1	13	21	YBR234C	TSA1070
1	13	22	YCL061C	DMA522
1	13	23	YOR149C	TSA204
1	13	24	YMR271C	DMA3865
1	14	1	YMR271C	DMA3865
1	14	2	YML064C	TSA225
1	14	3	YMR076C	TSA983
1	14	4	YNL216W	TSA558
1	14	5	YER006W	TSA786
1	14	6	YPL020C	TSA566
1	14	7	YGR091W	TSA472
1	14	8	YPR033C	TSA945
1	14	9	YPR023C	DMA5033
1	14	10	YOR244W	TSA560
1	14	11	YBR198C	TSA512
1	14	12	YDR246W	TSA1220
1	14	13	YDL014W	TSA803
1	14	14	YPL055C	DMA4805
1	14	15	YDL014W	TSA128
1	14	16	YOR014W	DMA4431
1	14	17	YNR035C	TSA471
1	14	18	YEL055C	TSA594
1	14	19	YFL039C	TSA137
1	14	20	YPR161C	TSA1028
1	14	21	YOR196C	DMA4586
1	14	22	YOR341W	TSA530
1	14	23	YLR347C	TSA226
1	14	24	YMR271C	DMA3865
1	15	1	YMR271C	DMA3865
1	15	2	YGL120C	TSA607
1	15	3	YDR054C	TSA92
1	15	4	YER013W	TSA237
1	15	5	YOL069W	TSA1154
1	15	6	YDR062W	TSA575
1	15	7	YKR037C	TSA857
1	15	8	YOR004W	TSA1057
1	15	9	YNL102W	TSA344
1	15	10	YFL017C	TSA1244
1	15	11	YMR197C	TSA635
1	15	12	YOL130W	TSA1271
1	15	13	YDL126C	TSA826
1	15	14	YCR002C	TSA899
1	15	15	YGR277C	TSA1205
1	15	16	YDR062W	TSA586
1	15	17	YAL041W	TSA408
1	15	18	YDL045C	TSA1116
1	15	19	YDR292C	TSA733
1	15	20	YER171W	TSA588
1	15	21	YML103C	DMA3612
1	15	22	YDR240C	TSA1235
1	15	23	YGL075C	TSA443
1	15	24	YMR271C	DMA3865
1	16	1	YMR271C	DMA3865
1	16	2	YMR271C	DMA3865
1	16	3	YMR271C	DMA3865
1	16	4	YMR271C	DMA3865
1	16	5	YMR271C	DMA3865
1	16	6	YMR271C	DMA3865
1	16	7	YMR271C	DMA3865
1	16	8	YMR271C	DMA3865
1	16	9	YMR271C	DMA3865
1	16	10	YMR271C	DMA3865
1	16	11	YMR271C	DMA3865
1	16	12	YMR271C	DMA3865
1	16	13	YMR271C	DMA3865
1	16	14	YMR271C	DMA3865
1	16	15	YMR271C	DMA3865
1	16	16	YMR271C	DMA3865
1	16	17	YMR271C	DMA3865
1	16	18	YMR271C	DMA3865
1	16	19	YMR271C	DMA3865
1	16	20	YMR271C	DMA3865
1	16	21	YMR271C	DMA3865
1	16	22	YMR271C	DMA3865
1	16	23	YMR271C	DMA3865
1	16	24	YMR271C	DMA3865
2	1	1	YMR271C	DMA3865
2	1	2	YMR271C	DMA3865
2	1	3	YMR271C	DMA3865
2	1	4	YMR271C	DMA3865
2	1	5	YMR271C	DMA3865
2	1	6	YMR271C	DMA3865
2	1	7	YMR271C	DMA3865
2	1	8	YMR271C	DMA3865
2	1	9	YMR271C	DMA3865
2	1	10	YMR271C	DMA3865
2	1	11	YMR271C	DMA3865
2	1	12	YMR271C	DMA3865
2	1	13	YMR271C	DMA3865
2	1	14	YMR271C	DMA3865
2	1	15	YMR271C	DMA3865
2	1	16	YMR271C	DMA3865
2	1	17	YMR271C	DMA3865
2	1	18	YMR271C	DMA3865
2	1	19	YMR271C	DMA3865
2	1	20	YMR271C	DMA3865
2	1	21	YMR271C	DMA3865
2	1	22	YMR271C	DMA3865
2	1	23	YMR271C	DMA3865
2	1	24	YMR271C	DMA3865
2	2	1	YMR271C	DMA3865
