YOR202W_dma1	NaN	NaN
YDR006C_dma836	0.856	0.004
YIL112W_dma2363	0.961	0.005
YMR318C_dma3918	0.955	0.003
YDR007W_dma835	0.919	0.003
YGL091C_tsa1120	0.614	0.004
YOL126C_dma4395	0.971	0.003
YML035C_dma3551	0.981	0.003
YOL052C_dma4338	0.646	0.004
YOR245C_dma4649	1.015	0.003
YPL157W_dma4908	0.550	0.006
YMR163C_dma3763	0.890	0.003
YBR092C_dma262	1.012	0.003
YOR224C_tsa1195	0.883	0.003
YOL086C_dma5363	0.940	0.003
YLR115W_tsa801	0.743	0.004
YDL106C_dma688	0.960	0.005
YLR222C_tsa1250	0.564	0.005
YBR084W_dma242	0.941	0.004
YDR178W_dma951	0.925	0.004
YER125W_tsa464	0.501	0.006
YLR375W_dma3418	0.912	0.004
YBL023C_tsa111	0.909	0.004
YLR195C_tsa690	0.834	0.003
YAR031W_dma80	1.010	0.002
YKL051W_dma2779	1.012	0.002
YJR076C_tsa126	1.008	0.006
YBR111C_dma271	1.018	0.003
YGL066W_dma1654	0.789	0.004
YJL203W_tsa401	0.931	0.004
YCL063W_dma520	0.899	0.002
YHR203C_dma2243	0.757	0.004
YFR024C-A_dma1569	1.029	0.003
YGL023C_dma1597	0.943	0.003
YLR335W_dma3381	1.036	0.003
YGR178C_dma1933	1.035	0.002
YBR082C_dma245	0.920	0.004
YDR505C_dma1218	1.022	0.004
YPL053C_dma4807	1.024	0.003
YNR007C_dma4210	1.015	0.003
YHL032C_dma2076	0.993	0.004
YJL187C_dma2579	0.986	0.004
YOR359W_dma4743	1.016	0.004
YJL002C_tsa735	0.922	0.004
YBR072W_dma251	0.957	0.004
YBR164C_dma318	0.961	0.004
YDL159W_dma744	NaN	NaN
YML008C_dma3527	0.897	0.004
YLR308W_dma5362	0.985	0.002
YPL089C_dma4829	1.014	0.003
YCL033C_dma497	1.035	0.002
YCL025C_dma469	0.913	0.002
YJL128C_dma2511	1.024	0.002
YMR138W_dma3726	1.020	0.003
YPL183W-A_dma4932	0.839	0.004
YKL216W_dma2907	0.132	0.005
YMR093W_tsa1246	0.589	0.004
YOR140W_dma4551	0.799	0.005
YMR096W_dma3690	1.047	0.002
YDL097C_tsa1146	0.756	0.005
YDR503C_dma1220	0.825	0.009
YGL212W_dma1732	0.625	0.006
YLR143W_dma3220	0.955	0.003
YDL013W_dma616	0.296	0.004
YDR514C_dma1234	NaN	NaN
YER101C_dma1398	1.000	0.003
YHL025W_dma2060	0.810	0.006
YLR191W_dma3258	0.840	0.003
YAL051W_dma39	1.039	0.002
YMR263W_dma3870	0.979	0.002
YDR394W_tsa785	0.968	0.002
YMR162C_dma3764	1.018	0.002
YJL148W_dma2540	0.764	0.004
YGR231C_dma1987	0.851	0.005
YHR082C_dma2125	0.987	0.003
YOR171C_dma4581	0.918	0.004
YFL021W_dma1479	1.010	0.002
YGL157W_dma1698	1.025	0.002
YCL011C_dma477	1.012	0.002
YIL154C_dma2383	0.908	0.002
YDL148C_tsa1234	NaN	NaN
YLR135W_dma3225	1.032	0.002
YPR057W_dma5057	0.704	0.005
YIL139C_dma2369	1.020	0.003
YDR236C_tsa1245	0.732	0.004
YKL092C_dma2832	1.036	0.003
YPL003W_dma4768	0.995	0.004
YLR377C_dma3416	1.000	0.004
YDR071C_dma854	0.952	0.004
YKL081W_dma2815	0.839	0.003
YBR295W_dma466	0.947	0.003
YDR430C_dma1170	0.937	0.003
YBR095C_dma259	1.012	0.002
YOR066W_dma4480	0.988	0.002
YLR137W_dma3223	0.960	0.002
YDR198C_dma962	1.001	0.002
YMR073C_dma3679	0.948	0.002
YGL121C_dma1675	0.980	0.002
YMR284W_dma3877	0.977	0.002
YLR378C_tsa213	0.762	0.003
YBR276C_dma437	1.034	0.002
YGR196C_dma1945	0.960	0.005
YDR307W_dma1065	1.028	0.002
YCR009C_dma532	0.975	0.004
YDL188C_dma788	NaN	NaN
YDR153C_dma943	1.019	0.003
YGR224W_dma1972	0.847	0.009
YJL171C_dma2566	1.001	0.003
YLR276C_tsa1148	0.819	0.004
YPR164W_dma5141	0.823	0.004
YJL074C_tsa71	0.903	0.003
YPL051W_dma4809	0.942	0.003
YLL041C_dma3054	0.911	0.003
YER129W_dma1426	0.990	0.002
YDR496C_dma1201	0.739	0.004
YLL024C_dma3040	1.002	0.003
YBR254C_tsa1174	0.761	0.003
YFR009W_dma1516	0.935	0.003
YLR183C_dma3242	0.962	0.003
YKR090W_dma3004	0.994	0.002
YDR233C_dma985	0.954	0.002
YAL059W_dma55	1.002	0.002
YHR088W_tsa1095	0.726	0.004
YPL100W_dma4844	1.008	0.003
YBR181C_dma327	0.706	0.005
YDL080C_dma682	0.944	0.003
YER092W_dma1381	0.797	0.003
YCR088W_dma590	1.052	0.005
YHR017W_dma2097	1.018	0.003
YDR074W_dma887	0.777	0.006
YBR147W_dma307	1.000	0.006
YGL211W_dma1733	0.886	0.004
YDL157C_dma722	NaN	NaN
YDR121W_dma922	0.958	0.003
YCR050C_dma571	1.004	0.002
YNL021W_dma3925	0.679	0.004
YLR099C_dma3204	0.962	0.003
YMR126C_dma3713	0.971	0.003
YPR020W_dma5035	0.803	0.009
YGR099W_tsa938	0.986	0.004
YBR115C_dma268	NaN	NaN
YJL059W_dma2478	1.029	0.003
YMR086W_dma3695	1.007	0.003
YPR183W_tsa330	0.940	0.003
YGL215W_dma1729	0.828	0.011
YJL016W_dma2458	1.030	0.002
YDR166C_tsa51	1.023	0.002
YNL096C_dma5343	0.879	0.003
YDL183C_dma747	NaN	NaN
YLR002C_tsa1164	0.773	0.004
YOL007C_dma4292	1.003	0.003
YBR278W_dma435	0.987	0.003
YGL151W_dma1703	0.846	0.005
YJR096W_dma2669	1.065	0.003
YKL055C_dma2776	0.639	0.005
YPR168W_tsa818	0.567	0.008
YMR164C_dma3762	0.953	0.003
YCR095C_dma608	1.000	0.003
YKL074C_dma2820	0.952	0.002
YDR062W_tsa575	0.600	0.006
YOL117W_dma4401	1.021	0.003
YOR156C_dma4567	0.952	0.003
YLR194C_dma3255	1.010	0.002
YJR011C_dma2606	0.826	0.012
YHR034C_dma2108	0.873	0.003
YMR305C_dma3908	1.010	0.003
YIL008W_dma2255	0.835	0.003
YIR019C_dma2415	0.987	0.003
YKL007W_dma2738	0.994	0.002
YLR039C_dma3121	0.748	0.004
YGR279C_dma2007	1.071	0.003
YFR015C_dma1556	0.985	0.002
YER123W_dma1406	0.884	0.003
YLR022C_tsa1026	0.900	0.004
YHR156C_dma2188	0.992	0.002
YOL001W_dma4274	0.670	0.005
YCR008W_dma533	0.932	0.002
YFR048W_dma1573	0.890	0.003
YHL002W_dma2033	0.968	0.003
YDR339C_tsa1188	0.675	0.004
YNL091W_dma4002	0.802	0.005
YGR133W_dma1894	0.827	0.002
YBR162W-A_dma319	1.017	0.002
YGL060W_dma1656	1.010	0.003
YER118C_dma1411	0.985	0.003
YDR385W_dma1108	0.900	0.003
YDL181W_dma749	NaN	NaN
YHR152W_dma2192	0.995	0.003
YDR120C_dma923	0.955	0.003
YGR200C_dma1965	0.774	0.004
YCR073C_dma580	1.000	0.002
YGR043C_dma1831	1.010	0.003
YPL092W_dma4826	1.018	0.003
YMR303C_dma3911	1.023	0.003
YOR033C_dma4459	0.986	0.003
YDR011W_dma831	1.000	0.002
YKL208W_dma2913	0.889	0.003
YJL012C_dma2460	0.961	0.002
YER136W_tsa64	0.905	0.007
YLR170C_dma3231	0.954	0.002
YOR074C_tsa927	0.422	0.005
YKL062W_dma2773	0.964	0.003
YPR075C_dma5087	0.963	0.004
YBR125C_dma299	0.980	0.002
YBL067C_dma154	0.944	0.003
YOR346W_dma4732	0.973	0.003
