YOR262W_damp1001
YOR282W_damp1004
YOR294W_damp1006
YLL008W_damp102
YLL034C_damp103
YPL131W_damp1035
YPL142C_damp1036
YPL143W_damp1037
YPL151C_damp1039
YLR008C_damp104
YLR075W_damp105
YPL251W_damp1054
YPR048W_damp1062
YPR094W_damp1068
YLR163C_damp107
YPR136C_damp1078
YLR175W_damp108
YPR162C_damp1083
YPR176C_damp1088
YPR181C_damp1091
YPR182W_damp1092
YPR187W_damp1095
YHR005C-A_damp1099
YDL084W_damp11
YHR143W-A_damp1100
YKL006C-A_damp1101
YLR244C_damp1121
YKL080W_damp1132
YGR160W_damp1140
YJL080C_damp1142
YJL102W_damp1148
YML049C_damp115
YGR219W_damp1151
YDL047W_damp1164
YJR113C_damp1166
YPL042C_damp1170
YDR443C_damp1178
YER103W_damp1203
YGR155W_damp1204
YMR033W_damp121
YBR268W_damp1214
YPL029W_damp1222
YHR026W_damp1229
YMR061W_damp123
YMR146C_damp124
YLL027W_damp1244
YIL018W_damp1253
YCR081W_damp1254
YOL051W_damp1258
YMR203W_damp126
YDL022W_damp1278
YMR239C_damp128
YPL271W_damp1300
YDR295C_damp1313
YHR168W_damp1350
YDL075W_damp1352
YBR251W_damp1362
YNL251C_damp137
YML061C_damp1376
YDR123C_damp1380
YPL129W_damp1390
YDR457W_damp1398
YDR377W_damp1399
YDR016C_damp14
YNR035C_damp140
YLR304C_damp1401
YKL003C_damp1409
YOR073W_damp1410
YPR067W_damp1420
YOL123W_damp143
YDL107W_damp1430
YOR198C_damp1439
YOL149W_damp144
YEL036C_damp1447
YJL127C_damp1448
YOR046C_damp145
YPR163C_damp1452
YLR139C_damp1457
YDL086W_damp1465
YCR002C_damp1469
YNL276C_damp1478
YEL044W_damp1489
YDR050C_damp15
YOR194C_damp150
YNL160W_damp1523
YGR006W_damp1533
YPL028W_damp158
YPL252C_damp167
YPR086W_damp171
YAL003W_damp175
YAL033W_damp177
YAL038W_damp178
YAL041W_damp179
YAR007C_damp181
YAR008W_damp182
YBL030C_damp189
YBL034C_damp190
YBL077W_damp198
YBL092W_damp200
YBR011C_damp203
YBR060C_damp207
YDR394W_damp21
YBR080C_damp210
YBR091C_damp214
YBR109C_damp216
YEL019C_damp22
YBR124W_damp220
YBR154C_damp227
YEL034W_damp23
YEL055C_damp24
YBR247C_damp241
YBR254C_damp243
YCL041C_damp249
YER018C_damp26
YDL014W_damp266
YDL016C_damp268
YDL017W_damp269
YDL029W_damp271
YDL092W_damp280
YDL145C_damp293
YER146W_damp30
YDL207W_damp307
YER148W_damp31
YDL235C_damp314
YDR002W_damp315
YDR013W_damp316
YAR003W_damp3166
YDR023W_damp318
YCL018W_damp3185
YCR028C-A_damp3190
YCR040W_damp3191
YCR053W_damp3193
YDL041W_damp3197
YDR159W_damp3218
YEL021W_damp3242
YDR053W_damp325
YER074W-A_damp3263
YER083C_damp3264
YFL017W-A_damp3269
YDR060W_damp327
YFR010W_damp3274
YGL031C_damp3277
YGL106W_damp3284
YGL127C_damp3287
YGL136C_damp3288
YDR064W_damp329
YDR086C_damp332
YHR072W-A_damp3320
YIL052C_damp3326
YIR023W_damp3333
YJL046W_damp3335
YJL175W_damp3338
YJL188C_damp3339
YJR063W_damp3344
YJR109C_damp3345
YKL006W_damp3350
YKL041W_damp3353
YKL138C-A_damp3357
YKR094C_damp3369
YLR157W-D_damp3380
YLR320W_damp3388
YDR164C_damp339
YML049C_damp3398
YMR038C_damp3409
YMR116C_damp3411
YMR217W_damp3417
YMR230W_damp3419
YNL021W_damp3424
YDR172W_damp344
YNL302C_damp3445
YOL004W_damp3454
YOL142W_damp3459
YOL143C_damp3460
YOR089C_damp3469
YOR221C_damp3473
YOR235W_damp3474
YOR293W_damp3477
YOR302W_damp3478
YOR303W_damp3479
YOR312C_damp3481
YOR369C_damp3482
YPL137C_damp3486
YPL172C_damp3488
YPL202C_damp3489
YPL213W_damp3490
YPR043W_damp3493
YPR070W_damp3496
YPR132W_damp3497
YPR179C_damp3499
YFL029C_damp35
YJL223C_damp3508
YNL064C_damp3513
YNR076W_damp3516
YOR350C_damp3517
YBL017C_damp3520
YCL038C_damp3521
YDR201W_damp353
YDR211W_damp355
YDR212W_damp356
YDR238C_damp362
YDR267C_damp366
YFL038C_damp37
YDR339C_damp378
YDR355C_damp381
