YBR177C	2	1	813184
YIL140W	9	56600	281200
YLR268W	12	1	1030200
YPL043W	16	135600	948066
YJL155C	10	1	578700
YLR197W	12	261500	916700
YBL039W-B	2	1	445000
YAL008W	1	36400	230200
YNR028W	14	330200	784300
YBR255W	2	442300	813184
YFR027W	6	1	270161
YBR128C	2	251900	813184
YDL214C	4	1	629000
YCR093W	3	53400	316600
YAL056W	1	1	134100
YGR148C	7	564500	1048300
YKR069W	11	380300	666800
YDR459C	4	1113200	1531900
YIR039C	9	228800	439888
YNL003C	14	1	784300
YBR111W-A	2	236700	686000
YJR084W	10	198000	745751
YBR135W	2	197800	813184
YLR233C	12	394200	816100
YBR160W	2	1	813184
YPR081C	16	358900	948066
YLR313C	12	429200	1018800
YDL238C	4	1	263400
YHR007C	8	1	542900
YIL095W	9	1	439888
YHR067W	8	32300	509500
YKL190W	11	1	350100
YLR182W	12	274700	732600
YGL215W	7	1	319700
YDR312W	4	490700	1354200
YLR348C	12	538200	1073700
YKL074C	11	1	666800
YPR033C	16	1	948066
YJL077C	10	1	547400
YGR232W	7	573100	1090900
YKL096W-A	11	1	541800
YFL045C	6	1	270161
YGR273C	7	840800	1090900
YFL010C	6	1	270161
YDR141C	4	335200	1382900
YJL131C	10	1	361200
YDL170W	4	1	523300
YBR117C	2	183600	750700
YIL124W	9	1	376400
YER113C	5	1	576874
YJR044C	10	274400	745751
YJR011C	10	193200	654600
YPL039W	16	267900	853400
YGL141W	7	36700	516200
YDR083W	4	369500	970100
YMR009W	13	75700	586100
YDR168W	4	374600	1103900
YIR018C-A	9	234300	439888
YOR341W	15	388600	1091291
YPL071C	16	123700	751700
YNL072W	14	1	728200
YDR363W	4	840700	1448200
YFL021W	6	1	270161
YJL219W	10	1	158000
YMR283C	13	372200	924400
YPL024W	16	1	948066
YBR152W	2	141200	813184
YKL029C	11	175300	610300
YPL166W	16	1	498200
YKL052C	11	1	666800
YBR273C	2	424500	813184
YFR005C	6	1	270161
YOR313C	15	576800	1084000
YHR009C	8	1	533200
YDR329C	4	906100	1469200
YOL034W	15	1	546700
YJR135W-A	10	286700	745751
YFR050C	6	1	270161
YLR447C	12	781100	1078177
YGL237C	7	1	380200
YIL062C	9	38200	406500
YNL295W	14	1	312500
YDR016C	4	106500	917800
YNR032C-A	14	314900	784300
YCR071C	3	1	316600
YAR019C	1	1	230200
YDR299W	4	535300	1404100
YOL116W	15	1	272400
YDL226C	4	1	340000
YML129C	13	1	453000
YGL257C	7	1	136500
YDR196C	4	257000	1445800
YBR202W	2	234500	813184
YER023W	5	1	376200
YCL042W	3	1	220200
YGR131W	7	374100	1013900
YNR032W	14	1	784300
YNR045W	14	1	784300
YKL148C	11	1	412500
YOR093C	15	202500	896800
YBR026C	2	1	813184
YNL288W	14	1	385200
YIL091C	9	1	439888
YOR322C	15	114900	1091291
YKR061W	11	341400	666800
YLR357W	12	538600	1078177
YNL103W	14	1	784300
YAL046C	1	1	196900
YDR198C	4	525600	1156400
YAL039C	1	1	230200
YNR018W	14	1	784300
YKL059C	11	1	620100
YDL185W	4	1	420000
YBR215W	2	232500	813184
YIL106W	9	1	397700
YLR403W	12	1	1078177
YNL147W	14	1	784300
YOR002W	15	98800	579200
YDR364C	4	796200	1531900
YML127W	13	1	306200
YLR188W	12	219400	699600
YGR084C	7	357300	1049100
YLR352W	12	259200	1078177
YFR018C	6	11900	270161
YDR399W	4	881000	1531900
YHR141C	8	94900	562600
YLR355C	12	310900	1078177
YJL212C	10	1	199500
YGL157W	7	1	600400
YNL162W-A	14	1	736000
YKR054C	11	306700	666800
YGR099W	7	189200	1090900
YJR093C	10	175300	745751
YGR128C	7	349600	1090900
YOL090W	15	1	539500
YLR300W	12	468400	960800
YNL145W	14	1	677200
YJL091C	10	1	618400
YJR140C	10	400600	745751
YGR146C	7	385200	1090900
YOR033C	15	112800	645100
YOR062C	15	107400	730600
YJR095W	10	319300	745751
YBR191W	2	322300	813184
YMR164C	13	350500	859400
YBR043C	2	1	583800
YBR094W	2	119800	813184
YGR066C	7	362800	868200
YHR112C	8	1	562600
YNR007C	14	337800	784300
YDR527W	4	1163500	1531900
YGL053W	7	57500	632600
YLL066W-B	12	1	243349
YDR485C	4	1055700	1531900
YLR011W	12	1	437000
YIL044C	9	1	439000
YPL239W	16	1	551200
YPR183W	16	565900	948066
YDL073W	4	29500	713200
YBL042C	2	1	386200
YEL017C-A	5	1	448300
YNL093W	14	1	766000
YCR046C	3	1	240200
YLR059C	12	22500	556500
YOL001W	15	1	607700
YDR525W-A	4	1160800	1531900
YBL111C	2	1	34000
YBR054W	2	71100	813184
YDR059C	4	159800	771600
YDR379C-A	4	834600	1531900
YOR240W	15	379400	1091291
YPL224C	16	1	291500
YLR137W	12	39700	632700
YEL007W	5	1	374700
YLR020C	12	1	472100
YKL204W	11	1	349100
YLR404W	12	677000	1078177
YLR307C-A	12	323200	1078177
YMR226C	13	298200	924400
YPL248C	16	1	436400
YDR531W	4	944500	1531900
YDR504C	4	1280800	1531900
YIL013C	9	1	439888
YLR466W	12	944900	1078177
YMR233W	13	426000	924400
YOL136C	15	1	402700
YDL060W	4	1	976300
YLR002C	12	1	533500
YDR393W	4	599200	1531900
YBR293W	2	622900	813184
YIR022W	9	207900	439888
YGL084C	7	1	628400
YNR052C	14	405900	784300
YGL244W	7	1	559300
YHR032W	8	1	543300
YEL032W	5	1	536000
YDR263C	4	578600	1307400
YBL044W	2	1	318900
YER145C	5	1	576874
YER110C	5	1	576874
YHR123W	8	111400	562600
YOR382W	15	829600	1091291
YDR022C	4	46400	852300
YPL266W	16	1	948066
YHR203C	8	218900	562600
YJL136W-A	10	1	405200
YOR304W	15	727300	1040400
YDL010W	4	214500	689900
YLL057C	12	1	234600
YML112W	13	1	389800
YGL062W	7	111600	650300
YGR183C	7	537900	1065200
YER169W	5	1	576874
YOL016C	15	1	568000
YOR226C	15	442800	979700
YGL241W	7	1	483700
YEL025C	5	1	265800
YLR108C	12	1	719800
YLR229C	12	223300	926900
YMR040W	13	97500	578300
YPR176C	16	273200	948066
YBL063W	2	1	427000
YLR017W	12	1	411700
YMR146C	13	161400	771800
YPR165W	16	638400	948066
YDR226W	4	710100	1327400
YMR266W	13	533000	924400
YDR057W	4	130700	1056400
YBR192W	2	391100	743700
YKR064W	11	216700	666800
YLR154C-H	12	333700	1078177
YLR097C	12	195000	609200
YCR060W	3	1	316600
YJL036W	10	1	745751
YER041W	5	1	313300
YDR521W	4	1251200	1531900
YGR277C	7	529900	1090900
YER009W	5	1	535700
YBR036C	2	1	685100
YMR015C	13	6300	517800
YDL139C	4	1	523300
YDR246W	4	526000	1531900
YBR011C	2	1	810100
YBL102W	2	1	326100
YMR079W	13	83000	745600
YLR115W	12	1	877100
YMR126C	13	300200	924400
YLR179C	12	313400	769800
YGL014W	7	234100	885200
YER071C	5	1	505000
